Date,First Hour of Period,Is Daylight,Distance to Solar Noon,Average Temperature (Day),Average Wind Direction (Day),Average Wind Speed (Day),Sky Cover,Visibility,Relative Humidity,Average Wind Speed (Period),Average Barometric Pressure (Period),Power Generated
1/9/2008,01:00,FALSE,0.859897172,69,28,7.5,0,10,75,8,29.82,0
1/9/2008,04:00,FALSE,0.628534704,69,28,7.5,0,10,77,5,29.85,0
1/9/2008,07:00,TRUE,0.397172237,69,28,7.5,0,10,70,0,29.89,5418
1/9/2008,10:00,TRUE,0.165809769,69,28,7.5,0,10,33,0,29.91,25477
1/9/2008,13:00,TRUE,0.065552699,69,28,7.5,0,10,21,3,29.89,30069
1/9/2008,16:00,TRUE,0.296915167,69,28,7.5,0,10,20,23,29.85,16280
1/9/2008,19:00,TRUE,0.528277635,69,28,7.5,0,10,36,15,29.83,515
1/9/2008,22:00,FALSE,0.759640103,69,28,7.5,0,10,49,6,29.86,0
2/9/2008,01:00,FALSE,0.862113402,72,29,6.8,0,10,67,6,29.86,0
2/9/2008,04:00,FALSE,0.630154639,72,29,6.8,0,10,49,0,29.87,0
2/9/2008,07:00,TRUE,0.398195876,72,29,6.8,0,10,54,0,29.9,4939
2/9/2008,10:00,TRUE,0.166237113,72,29,6.8,0,10,64,0,29.92,24335
2/9/2008,13:00,TRUE,0.065721649,72,29,6.8,0,10,23,9,29.88,29025
2/9/2008,16:00,TRUE,0.297680412,72,29,6.8,0,10,30,18,29.84,15408
2/9/2008,19:00,TRUE,0.529639175,72,29,6.8,0,10,65,11,29.84,491
2/9/2008,22:00,FALSE,0.761597938,72,29,6.8,0,10,75,5,29.85,0
3/9/2008,01:00,FALSE,0.86545925,73,29,7.9,0,10,72,6,29.84,0
3/9/2008,04:00,FALSE,0.632600259,73,29,7.9,0,10,78,6,29.86,0
3/9/2008,07:00,TRUE,0.399741268,73,29,7.9,0,10,63,0,29.88,4854
3/9/2008,10:00,TRUE,0.166882277,73,29,7.9,0,10,69,3,29.88,23855
3/9/2008,13:00,TRUE,0.065976714,73,29,7.9,0,10,33,10,29.84,28339
3/9/2008,16:00,TRUE,0.298835705,73,29,7.9,0,10,27,20,29.81,15308
3/9/2008,19:00,TRUE,0.531694696,73,29,7.9,0,10,53,14,29.81,455
3/9/2008,22:00,FALSE,0.764553687,73,29,7.9,0,10,70,6,29.85,0
4/9/2008,01:00,FALSE,0.86770428,76,30,6.9,0,10,73,0,29.83,0
4/9/2008,04:00,FALSE,0.634241245,76,30,6.9,0,10,78,6,29.82,0
4/9/2008,07:00,TRUE,0.40077821,76,30,6.9,0,10,70,0,29.84,4750
4/9/2008,10:00,TRUE,0.167315175,76,30,6.9,0,10,64,3,29.85,23555
4/9/2008,13:00,TRUE,0.06614786,76,30,6.9,0,10,62,6,29.79,27741
4/9/2008,16:00,TRUE,0.299610895,76,30,6.9,0,10,30,15,29.75,14917
4/9/2008,19:00,TRUE,0.53307393,76,30,6.9,0,10,27,17,29.74,429
4/9/2008,22:00,FALSE,0.766536965,76,30,6.9,0,10,33,5,29.77,0
5/9/2008,01:00,FALSE,0.869791667,77,29,8.5,0,10,53,3,29.77,0
5/9/2008,04:00,FALSE,0.635416667,77,29,8.5,0,10,70,7,29.76,0
5/9/2008,07:00,TRUE,0.401041667,77,29,8.5,0,10,61,0,29.8,4804
5/9/2008,10:00,TRUE,0.166666667,77,29,8.5,0,10,64,3,29.82,23551
5/9/2008,13:00,TRUE,0.067708333,77,29,8.5,0,10,49,5,29.78,27963
5/9/2008,16:00,TRUE,0.302083333,77,29,8.5,0,10,19,22,29.75,14980
5/9/2008,19:00,TRUE,0.536458333,77,29,8.5,0,10,51,15,29.76,423
5/9/2008,22:00,FALSE,0.770833333,77,29,8.5,0,10,37,8,29.79,0
6/9/2008,01:00,FALSE,0.870925684,75,30,8.6,1,10,57,6,29.78,0
6/9/2008,04:00,FALSE,0.636245111,75,30,8.6,1,10,73,3,29.78,0
6/9/2008,07:00,TRUE,0.401564537,75,30,8.6,1,10,52,3,29.81,4562
